CODE	DEFINITION	DESCRIPTION
MAW	MW	The symbol of MW
KVT	kV	The symbol of kV
P1	Percent	A unit of proportion equal to 0.01.
C62	One	A unit for dimensionless quantities, also called quantities of dimension one.
AMP	Ampere	The unit of electrical current in the International system of Units (SI) equivalent to one Coulomb per second.

