Code	Title	Description
A01	Scarcity	A scarcity component to be used in nationally defined scarcity situations.
A02	Incentive	An incentive component to be used to fulfil nationally defined boundary conditions.
A03	Financial neutrality	A component related to the financial neutrality of the connecting TSO.
